dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.359982,4.250000,0.000020,0.002000,0.100000,5.000000,3.141593
0.020000,5.359902,4.250000,0.000100,0.006000,0.200000,5.000000,3.141593
0.020000,5.359722,4.250000,0.000280,0.012000,0.300000,5.000000,3.141593
0.020000,5.359402,4.250000,0.000600,0.020000,0.400000,5.000000,3.141593
0.020000,5.358902,4.250000,0.001100,0.030000,0.500000,5.000000,3.141593
0.020000,5.358182,4.250000,0.001820,0.042000,0.600000,5.000000,3.141593
0.020000,5.357202,4.250000,0.002800,0.056000,0.700000,5.000000,3.141593
0.020000,5.355922,4.250000,0.004080,0.072000,0.800000,5.000000,3.141593
0.020000,5.354302,4.250000,0.005700,0.090000,0.900000,5.000000,3.141593
0.020000,5.352302,4.250000,0.007700,0.110000,1.000000,5.000000,3.141593
0.020000,5.349882,4.250000,0.010120,0.132000,1.100000,5.000000,3.141593
0.020000,5.347002,4.250000,0.013000,0.156000,1.200000,5.000000,3.141593
0.020000,5.343622,4.250000,0.016380,0.182000,1.300000,5.000000,3.141593
0.020000,5.339702,4.250000,0.020300,0.210000,1.400000,5.000000,3.141593
0.020000,5.335202,4.250000,0.024800,0.240000,1.500000,5.000000,3.141593
0.020000,5.330082,4.250000,0.029920,0.272000,1.600000,5.000000,3.141593
0.020000,5.324302,4.250000,0.035700,0.306000,1.700000,5.000000,3.141593
0.020000,5.317822,4.250000,0.042180,0.342000,1.800000,5.000000,3.141593
0.020000,5.310602,4.250000,0.049400,0.380000,1.900000,5.000000,3.141593
0.020000,5.302602,4.250000,0.057400,0.420000,2.000000,5.000000,3.141593
0.020000,5.293782,4.250000,0.066220,0.462000,2.100000,5.000000,3.141593
0.020000,5.284102,4.250000,0.075900,0.506000,2.200000,5.000000,3.141593
0.020000,5.273522,4.250000,0.086480,0.552000,2.300000,5.000000,3.141593
0.020000,5.262002,4.250000,0.098000,0.600000,2.400000,5.000000,3.141593
0.020000,5.249502,4.250000,0.110500,0.650000,2.500000,5.000000,3.141593
0.020000,5.235982,4.250000,0.124020,0.702000,2.600000,5.000000,3.141593
0.020000,5.221402,4.250000,0.138600,0.756000,2.700000,5.000000,3.141593
0.020000,5.205722,4.250000,0.154280,0.812000,2.800000,5.000000,3.141593
0.020000,5.188902,4.250000,0.171100,0.870000,2.900000,5.000000,3.141593
0.020000,5.170902,4.250000,0.189100,0.930000,3.000000,5.000000,3.141593
0.020000,5.151758,4.250016,0.208300,0.990000,3.000000,0.000000,3.137814
0.020000,5.131358,4.250189,0.228700,1.050000,3.000000,-0.000000,3.128346
0.020000,5.109762,4.250585,0.250300,1.110000,3.000000,0.000000,3.118140
0.020000,5.086972,4.251244,0.273100,1.170000,3.000000,0.000000,3.107163
0.020000,5.062991,4.252211,0.297100,1.230000,3.000000,0.000000,3.095380
0.020000,5.037826,4.253534,0.322300,1.290000,3.000000,0.000000,3.082754
0.020000,5.011483,4.255263,0.348700,1.350000,3.000000,0.000000,3.069248
0.020000,4.983971,4.257456,0.376300,1.410000,3.000000,-0.000000,3.054820
0.020000,4.955299,4.260172,0.405100,1.470000,3.000000,0.000000,3.039432
0.020000,4.925482,4.263475,0.435100,1.530000,3.000000,0.000000,3.023040
0.020000,4.894535,4.267434,0.466300,1.590000,3.000000,0.000000,3.005606
0.020000,4.862476,4.272122,0.498700,1.650000,3.000000,0.000000,2.987088
0.020000,4.829329,4.277617,0.532300,1.710000,3.000000,0.000000,2.967451
0.020000,4.795120,4.284002,0.567100,1.770000,3.000000,-0.000000,2.946659
