dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000018,0.660000,0.000020,0.001970,0.098485,4.924242,6.283185
0.020000,0.000096,0.660000,0.000098,0.005909,0.196970,4.924242,6.283185
0.020000,0.000274,0.660000,0.000276,0.011818,0.295455,4.924242,6.283185
0.020000,0.000589,0.660000,0.000591,0.019697,0.393939,4.924242,6.283185
0.020000,0.001081,0.660000,0.001083,0.029545,0.492424,4.924242,6.283185
0.020000,0.001790,0.660000,0.001792,0.041364,0.590909,4.924242,6.283185
0.020000,0.002756,0.660000,0.002758,0.055152,0.689394,4.924242,6.283185
0.020000,0.004016,0.660000,0.004018,0.070909,0.787879,4.924242,6.283185
0.020000,0.005612,0.660000,0.005614,0.088636,0.886364,4.924242,6.283185
0.020000,0.007581,0.660000,0.007583,0.108333,0.984848,4.924242,6.283185
0.020000,0.009965,0.660000,0.009967,0.130000,1.083333,4.924242,6.283185
0.020000,0.012801,0.660000,0.012803,0.153636,1.181818,4.924242,6.283185
0.020000,0.016130,0.660000,0.016132,0.179242,1.280303,4.924242,6.283185
0.020000,0.019990,0.660000,0.019992,0.206818,1.378788,4.924242,6.283185
0.020000,0.024422,0.660000,0.024424,0.236364,1.477273,4.924242,6.283185
0.020000,0.029465,0.660000,0.029467,0.267879,1.575758,4.924242,6.283185
0.020000,0.035157,0.660000,0.035159,0.301364,1.674242,4.924242,6.283185
0.020000,0.041539,0.660000,0.041541,0.336818,1.772727,4.924242,6.283185
0.020000,0.048650,0.660000,0.048652,0.374242,1.871212,4.924242,0.000000
0.020000,0.056528,0.660000,0.056530,0.413636,1.969697,4.924242,0.000000
0.020000,0.065215,0.660000,0.065217,0.455000,2.068182,4.924242,0.000000
0.020000,0.074748,0.660000,0.074750,0.498333,2.166667,4.924242,0.000000
0.020000,0.085168,0.660000,0.085170,0.543636,2.265152,4.924242,0.000000
0.020000,0.096513,0.660000,0.096515,0.590909,2.363636,4.924242,0.000000
0.020000,0.108824,0.660000,0.108826,0.640152,2.462121,4.924242,0.000000
0.020000,0.122139,0.660000,0.122141,0.691364,2.560606,4.924242,0.000000
0.020000,0.136498,0.660000,0.136500,0.744545,2.659091,4.924242,0.000000
0.020000,0.151940,0.660000,0.151942,0.799697,2.757576,4.924242,0.000000
0.020000,0.168506,0.660000,0.168508,0.856818,2.856061,4.924242,6.283185
0.020000,0.186233,0.660000,0.186235,0.915909,2.954545,4.924242,6.283185
0.020000,0.205123,0.660004,0.205144,0.975000,2.954545,-0.000000,0.001604
0.020000,0.225214,0.660099,0.225235,1.034091,2.954545,0.000000,0.007859
0.020000,0.246485,0.660336,0.246508,1.093182,2.954545,-0.000000,0.014420
0.020000,0.268936,0.660737,0.268962,1.152273,2.954545,0.000000,0.021277
0.020000,0.292565,0.661325,0.292598,1.211364,2.954545,0.000000,0.028415
0.020000,0.317371,0.662122,0.317417,1.270455,2.954545,-0.000000,0.035819
0.020000,0.343350,0.663152,0.343417,1.329545,2.954545,0.000000,0.043474
0.020000,0.370501,0.664441,0.370598,1.388636,2.954545,-0.000000,0.051363
0.020000,0.398821,0.666012,0.398962,1.447727,2.954545,0.000000,0.059467
0.020000,0.428307,0.667891,0.428508,1.506818,2.954545,0.000000,0.067767
0.020000,0.458954,0.670102,0.459235,1.565909,2.954545,0.000000,0.076242
0.020000,0.490760,0.672670,0.491144,1.625000,2.954545,0.000000,0.084869
0.020000,0.523719,0.675620,0.524235,1.684091,2.954545,0.000000,0.093626
0.020000,0.557827,0.678976,0.558508,1.743182,2.954545,0.000000,0.102487
0.020000,0.593079,0.682762,0.593962,1.802273,2.954545,0.000000,0.111426
0.020000,0.629469,0.687000,0.630598,1.861364,2.954545,0.000000,0.120416
0.020000,0.666992,0.691713,0.668417,1.920455,2.954545,0.000000,0.129429
0.020000,0.705643,0.696921,0.707417,1.979545,2.954545,-0.000000,0.138436
0.020000,0.745414,0.702646,0.747598,2.038636,2.954545,-0.000000,0.147406
0.020000,0.786302,0.708904,0.788962,2.097727,2.954545,0.000000,0.156307
0.020000,0.828299,0.715713,0.831508,2.156818,2.954545,0.000000,0.165108
0.020000,0.871399,0.723088,0.875235,2.215909,2.954545,-0.000000,0.173776
0.020000,0.915598,0.731043,0.920144,2.275000,2.954545,0.000000,0.182276
0.020000,0.960890,0.739587,0.966235,2.334091,2.954545,0.000000,0.190575
0.020000,1.007270,0.748731,1.013508,2.393182,2.954545,-0.000000,0.198638
0.020000,1.054714,0.758475,1.061942,2.450303,2.856061,-4.924242,0.206426
0.020000,1.103181,0.768816,1.111500,2.505455,2.757576,-4.924242,0.213898
0.020000,1.152629,0.779744,1.162141,2.558636,2.659091,-4.924242,0.221015
0.020000,1.203017,0.791246,1.213826,2.609848,2.560606,-4.924242,0.227736
0.020000,1.254308,0.803305,1.266515,2.659091,2.462121,-4.924242,0.234027
0.020000,1.306463,0.815902,1.320170,2.706364,2.363636,-4.924242,0.239850
0.020000,1.359445,0.829012,1.374750,2.751667,2.265152,-4.924242,0.245173
0.020000,1.413220,0.842606,1.430217,2.795000,2.166667,-4.924242,0.249961
0.020000,1.467753,0.856654,1.486530,2.836364,2.068182,-4.924242,0.254184
0.020000,1.523012,0.871121,1.543652,2.875758,1.969697,-4.924242,0.257812
0.020000,1.578965,0.885968,1.601541,2.913182,1.871212,-4.924242,0.260817
0.020000,1.635582,0.901154,1.660159,2.948636,1.772727,-4.924242,0.263171
